ensembl_gene_id,external_gene_name,Bazzini_ActD_HEK293_1,Bazzini_ActD_HeLa_1,Bazzini_ActD_RPE_1,Bazzini_4sU_K562_1,Akimitsu_BrU_HeLa_1,Rinn_ActD_K562_1,Rinn_ActD_K562_2,Rinn_ActD_K562_3,Rinn_ActD_H1ESC_1,Rinn_ActD_H1ESC_2,Rinn_ActD_H1ESC_3,Akimitsu2_BrU4sU_HeLa_1,Jaffrey_ActD_HEK293_1,Cramer_4sU_K562_1,Shendure_4sU_A549_1,Cramer2_4sU_K562_1,Oberdoerffer_BrU_HeLa_1,Dieterich_4sU_HEK293_1,Dieterich_4sU_HEK293_2,Dieterich_4sU_MCF7_1,Dieterich_4sU_MCF7_2,He_ActD_HeLa_1,He_ActD_HeLa_2,Marks_ActD_HeLa_1,Darnell_ActD_HepG2_1,Mortazavi_4sU_GM12878_1,Rissland2_ActD_HEK293_1,Rissland2_ActD_HEK293_2,Rissland2_Aman_HEK293_1,Rissland2_Aman_HEK293_2,Rissland2_4sU_HEK293_1,Rissland2_4sU_HEK293_2,Zimmer_ActD_Bcell_1,Gejman_4sU_GM07029_1,Gejman_4sU_GM07029_2,Gejman_4sU_GM07029_3,Gejman_4sU_GM10835_1,Gejman_4sU_GM10835_2,Gejman_4sU_GM10835_3,Gejman_4sU_GM12813_1,Gejman_4sU_GM12813_2,Gejman_4sU_GM12813_3,Gejman_4sU_GM12813_4,Gejman_4sU_GM12813_5,Gejman_4sU_GM07019_1,Gejman_4sU_GM12812_1,Gejman_4sU_GM12814_1,Gejman_4sU_GM12815_1,Simon_4sU_K562_1,Simon_4sU_K562_2,Rissland_4sU_HEK293_1,Rissland_4sU_HEK293_2,Rissland_4sU_HEK293_3,Rissland_4sU_HEK293_4
ENSG00000000003,TSPAN6,0.037851989895941,-0.014374893184668,-0.000698,NA,1.39967372148104,NA,NA,NA,NA,NA,NA,-3.01356650946889,NA,NA,1.34584800987701,NA,1.38201704257487,2.24611321913871,2.26437090043891,3.44798306149747,3.10532108241538,NA,NA,-0.0011,0.00087,NA,2.2697897335234,1.55356785423554,1.95214163086794,1.55427016551107,0.994103356646569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37942500029584,0.84633018315972,1.2323057703085,2.02708444490862
ENSG00000000005,TNMD,NA,NA,NA,NA,NA,NA,NA,NA,1.07519683003229,1.00540275260887,0.853364516251096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENSG00000000419,DPM1,0.031103622997078,-0.01216641904195,0.00968094503345,0.92611862859486,0.678518379040114,1.06112437236527,1.02848910308325,1.0684545215411,1.03203057455401,1.1354001452886,1.04018960384751,NA,NA,2.390103352393,0.789135502179683,NA,0.735003713210909,2.06879543968452,2.11553086747797,2.67761326079734,2.70979350023468,1.11947587247475,0.881643734909411,-0.0045,0.00173,0.828982026562254,1.0662918426075,0.875398603892171,1.02624422488439,0.945348655152174,0.646216573681476,1.69479243632114,2.64058080648965,0.749736315569061,0.979092900638326,0.798650645445269,0.969415912353981,0.900913067737669,0.99563519459755,0.606381365110605,0.576341350205793,0.69196510276736,0.585460729508501,0.618048096712093,0.790285164033242,0.69810054562339,0.57978359661681,0.800717078282385,0.522039747036275,0.473720477419829,0.827663975884416,-0.386923110334838,-0.312046950014932,0.801773192567035
ENSG00000000457,SCYL3,-0.038260796345386,0.078982676273313,0.114278353006076,0.691068866060037,0.389166084364532,0.252160276435788,0.235797020432175,0.385097690531314,0.344379893168211,0.38305504439693,0.374854249641173,NA,0.993057573274844,1.86159227328704,-0.0739375134518607,0.925333888141878,0.38334634346785,1.54702853255106,1.3977137896348,2.14579833252308,2.25319087212532,0.52635365474928,0.467541402665711,NA,NA,0.480687656518689,0.564606382270025,0.21429478878697,0.659160126357263,0.457199754323919,0.282185410898631,1.36652451077547,1.90036712865647,0.450249108319361,0.307496037913213,0.33645973384853,0.383815365980431,0.264817823009536,0.3654879848909,0.385606273598312,0.307496037913213,0.309630167425899,0.326335860928751,0.281033367247728,0.45484486000851,0.495544337546448,0.414973347970818,0.376576957056512,NA,NA,0.814521075165371,NA,NA,0.496395151055324
ENSG00000000460,C1orf112,0.028781576070352,-0.010404085877361,0.077293973018149,0.967705700851742,NA,0.673479118010441,0.669080232556355,0.688534699057274,0.800765658824443,0.75839678919547,0.771642370471298,NA,NA,2.13983536089452,0.463544819892494,NA,0.528838258943744,2.22569026327091,2.2465257186419,3.02132396261751,2.66855837356875,0.861302583708827,0.790461027726338,5e-04,NA,NA,0.792928169951873,0.662456137427029,0.706896136266921,0.599933171276435,0.828722095504444,NA,3.06288269013036,0.887617300335736,0.786041210242554,0.96189547366785,0.953276336667304,0.780317312140151,0.904174368284164,0.968015713993642,0.854913022307856,0.943494515906103,0.888179493918325,0.872738827472669,0.914343157119441,0.999130541287371,0.926342446625655,0.685741738602264,NA,NA,0.953870818110168,-0.212833162454175,-0.3040635113117,1.0023628753665
ENSG00000000938,FGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536251892032562,NA,NA,NA,NA,NA,NA,2.36604920980024,0.956168430475363,0.800029359244134,0.854913022307856,0.826074802700826,0.873901597864461,0.81690383937566,0.975891136401793,1.01828430842653,0.999130541287371,0.960470777534299,0.944975908412048,0.879669205632054,0.877946951629188,0.927883410330707,1.02530586526477,NA,NA,NA,NA,NA,NA
ENSG00000000971,CFH,NA,-0.019900281319934,-0.021956485050872,NA,1.39967372148104,1.11333223768939,1.17012348211344,1.20354443269528,NA,NA,NA,NA,NA,3.41565035380827,1.17574065321651,1.17705013953142,NA,NA,NA,NA,NA,NA,NA,6e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.751871619381406,0.750770589443267,NA,NA,NA,NA
ENSG00000001036,FUCA2,0.046516121665711,-0.040816758244976,-0.048658316974826,1.50512497048293,1.39967372148104,1.03106169825359,1.00906232166825,1.02593227231299,NA,NA,NA,NA,NA,2.93388633116368,1.19281746027919,NA,NA,2.36534246766747,2.3336035855822,3.47351656102986,2.99891375280607,1.1977107283354,1.26542781419387,-0.0035,NA,1.83484808721514,1.92679041092472,1.62505667582823,1.74278963819832,1.52182146618515,1.13165090649369,NA,NA,1.04060234011407,0.993876914941211,1.04921802267018,1.03901732199741,1.0484418035504,1.03782475058834,0.940018155007663,0.984977126415493,0.959994838328416,0.838849090737255,0.860936620700094,0.958563883221967,0.90687353472207,0.873901597864461,0.957607287060095,0.695962986226724,0.832694087046502,1.39489029160054,0.628492067238399,0.879754508560923,1.16781245950469
ENSG00000001084,GCLC,-0.016551388333477,0.111137898075847,0.057959420602221,0.80966562432788,0.629409599102719,NA,NA,NA,NA,NA,NA,NA,0.918258069068362,2.52472858822818,0.465431610314005,NA,0.474030153122009,1.95785628060999,1.94198845095188,2.62731406668837,2.42537688117904,0.446988711793824,0.554186526300901,0.003,0.00395,NA,0.539752371471528,0.413277941700557,0.62603998411693,0.594003920146743,0.423863516978691,1.11927298899427,2.43488812086732,0.731588765186739,0.634477270160732,0.795880017344075,0.732393759822969,0.653212513775344,0.707570176097936,0.66838591669,0.64640372622307,0.64738297011462,0.6232492903979,0.607455023214668,0.8750612633917,0.887617300335736,0.737987326333431,0.762678563727436,NA,NA,0.643045048917688,NA,NA,0.30486542745308
ENSG00000001167,NFYA,-0.028342506909632,0.0422557879319,0.001266024184675,0.690672566968285,0.404833716619938,0.17993852016241,0.184979162020892,0.199661947472239,0.108216839786997,0.11454393359498,0.109085594404791,NA,0.80957680315385,2.30566378117183,0.0326987990241451,NA,0.424118980996024,1.57072126613344,1.51995328777448,2.54991611377592,2.29082661621793,0.420497947538721,0.489958863814881,0.0085,NA,0.410270184804373,0.516252713690746,0.352685028040294,0.605154446753983,0.533455411938367,0.345533523729451,1.33822730184745,2.24674470972384,0.627365856592733,0.44870631990508,0.518513939877888,0.531478917042255,0.575187844927661,0.511883360978874,0.693726948923647,0.648360010980932,0.613841821876069,0.64640372622307,0.614897216033135,0.731588765186739,0.746634198937579,0.716837723299524,0.65991620006985,-0.316862868516993,-0.347270303930752,0.801212677370882,NA,-0.525787641676917,0.868085031315385
